time_stamp,NO2,O3,SO2,UR,CO,pm2.5_atm,pm10.0_atm,voc,city,Name,lat,long,City_lat,City_long,index_no
2024-03-31,22.41,16.53,30.6,48.57,0.0,0.9,9.2,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-01,22.41,16.53,30.6,48.57,0.0,0.9,9.2,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-02,22.41,16.53,30.6,48.57,0.0,0.9,9.2,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-03,17.94693227091633,8.243824701195221,14.570239043824708,53.94980079681275,0.09840637450199208,2.0948207171314714,11.245019920318727,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-04,15.810739436619713,13.098309859154933,4.5916901408450705,56.697500000000005,0.040492957746478826,2.272535211267605,12.961971830985913,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-05,16.349505300353368,11.28660777385159,7.79922261484099,58.180176678445186,0.034628975265017625,1.9681978798586564,11.022968197879853,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-06,15.644260563380282,10.0061971830986,8.017394366197184,56.19028169014085,0.026056338028169007,2.0559859154929585,9.88098591549297,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-07,13.032070175438596,7.6230877192982485,1.7452280701754388,62.331052631578956,0.0,1.4722807017543844,6.387017543859651,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-08,16.54853146853146,5.424685314685315,8.461713286713291,62.89790209790208,0.015734265734265736,1.4947552447552446,5.461538461538461,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-09,14.48829181494661,8.43604982206406,3.6506405693950166,62.27786476868325,0.0056939501779359435,1.0359430604982218,4.911387900355872,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-10,16.640652173913033,8.679202898550724,7.263876811594202,58.63597826086954,0.05797101449275356,1.4326086956521749,6.855072463768114,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-11,11.521454545454544,8.855999999999998,1.5463636363636364,64.3249090909091,0.0,2.6545454545454557,8.869090909090911,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-12,20.318764044943812,8.36151685393259,34.83404494382024,57.15207865168538,0.08988764044943807,3.18876404494382,15.55393258426966,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-13,18.743380281690136,11.318063380281693,38.63936619718309,59.9356690140845,0.011267605633802823,2.6644366197183094,13.680633802816894,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-14,20.687077464788732,3.474788732394366,41.44355633802819,67.80045774647883,0.003169014084507042,1.1109154929577467,4.890492957746475,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-15,19.0081338028169,2.1486267605633813,37.34440140845073,68.75612676056338,0.002464788732394366,1.0830985915492966,6.798943661971832,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-16,16.61592857142857,2.838750000000001,33.37807142857143,69.019,0.0,0.9553571428571435,4.9271428571428615,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-17,10.893153153153154,8.366846846846848,20.766036036036038,59.119459459459456,0.00045045045045045046,0.7382882882882884,6.453153153153154,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-18,13.672651933701655,12.802651933701659,22.95508287292817,46.00160220994473,0.0022099447513812156,0.8591160220994489,7.051933701657456,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-19,20.592463768115948,9.614746376811594,34.49365942028985,46.62771739130437,0.07681159420289854,1.7264492753623188,10.835507246376809,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-20,19.745244755244762,9.43762237762238,34.460034965034964,52.22790209790214,0.06503496503496509,2.426223776223775,12.780069930069937,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-21,17.803824561403495,12.336385964912278,29.371473684210535,54.732210526315804,0.03157894736842104,2.502105263157894,11.973684210526313,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-22,19.314098939929327,11.322826855123678,30.833745583038898,58.07318021201411,0.03780918727915192,2.843109540636043,16.361837455830393,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-23,16.06073426573426,5.566713286713289,31.611713286713282,65.7090909090909,0.008741258741258742,2.0024475524475496,8.262237762237763,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-24,21.86789285714287,5.339071428571428,34.92349999999999,63.94653571428575,0.08928571428571434,2.510357142857141,11.050714285714285,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-25,19.69541984732825,9.68557251908397,27.155725190839693,59.96496183206105,0.04427480916030532,2.8702290076335886,17.37862595419846,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-26,17.783519163763067,16.658641114982586,24.013728222996523,59.97512195121953,0.01881533101045295,4.105574912891986,24.4397212543554,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-27,16.14229166666667,17.130347222222227,21.697291666666658,58.649270833333354,0.010763888888888892,3.820833333333332,22.83506944444445,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-28,17.334195804195804,8.810944055944047,33.176678321678345,60.51618881118881,0.030419580419580393,2.4961538461538484,12.806993006993002,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-29,15.972048611111108,6.363125000000003,24.7623263888889,59.1333333333333,0.01805555555555556,2.629513888888889,17.85937500000001,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-04-30,18.135403508771944,8.361543859649124,27.7396842105263,54.51301754385964,0.02350877192982453,3.0185964912280734,20.605614035087722,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-01,15.58447916666667,6.59871527777778,29.011979166666677,57.09319444444444,0.0010416666666666669,2.5256944444444454,18.555555555555568,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-02,18.074444444444445,3.00511111111111,40.27102222222221,60.936977777777784,0.016000000000000007,2.118222222222223,15.2608888888889,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-03,14.809219858156021,4.981666666666667,30.88287234042553,65.26262411347518,0.005673758865248227,0.8861702127659579,6.61595744680851,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-04,17.569812500000005,1.8903125000000003,34.07424999999999,66.07093749999999,0.013125000000000003,1.8412499999999998,12.169999999999998,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-05,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-06,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-07,,,,,,,,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-08,26.19,6.19,22.95,42.34,0.1,1.7,16.4,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-09,17.60173333333333,0.0,44.7952,65.03506666666668,0.04400000000000001,3.793333333333335,13.461333333333332,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-10,19.794825174825174,8.702867132867132,26.516853146853148,55.560419580419556,0.0482517482517482,3.8818181818181845,27.093006993006984,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-11,18.561533101045317,11.782682926829267,26.158606271777003,51.03320557491293,0.078397212543554,3.6473867595818827,23.19965156794426,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-12,17.371368421052637,10.818035087719293,29.85224561403509,48.613087719298235,0.008070175438596493,2.6564912280701765,19.75298245614035,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-13,15.57047794117647,0.9630514705882353,39.5394117647059,62.08172794117647,0.0,1.919485294117646,9.302573529411767,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
2024-05-14,13.253423913043479,2.9524456521739135,31.562119565217408,63.21163043478255,0.0,0.4788043478260871,4.124999999999997,,Cascavel,GM Cascavel,-24.9877,-53.4477,-24.955833,-53.455278,1.0
